2018-05-23 19:42:34.377296,2018-05-23 19:45:49.403955,0:03:15.026659
2018-05-23 19:45:59.441000,2018-05-23 19:51:53.267004,0:05:53.826004
2018-05-23 19:46:09.599500,2018-05-23 19:51:53.468856,0:05:43.869356
2018-05-23 19:46:19.808000,2018-05-23 19:51:53.640755,0:05:33.832755
2018-05-23 19:46:29.986000,2018-05-23 19:51:53.813664,0:05:23.827664
2018-05-23 19:46:39.043779,2018-05-23 19:51:53.991476,0:05:14.947697
2018-05-23 19:46:44.153358,2018-05-23 19:51:54.162907,0:05:10.009549
2018-05-23 19:46:49.268612,2018-05-23 19:51:54.302928,0:05:05.034316
2018-05-23 19:46:54.337468,2018-05-23 19:51:54.441047,0:05:00.103579
2018-05-23 19:52:30.484007,2018-05-23 19:53:01.676717,0:00:31.192710
2018-05-23 19:52:35.641564,2018-05-23 19:53:01.862827,0:00:26.221263
2018-05-23 19:52:40.781482,2018-05-23 19:53:02.055291,0:00:21.273809
2018-05-23 19:52:45.930434,2018-05-23 19:53:02.231186,0:00:16.300752
2018-05-23 19:55:10.293320,2018-05-23 19:56:21.116895,0:01:10.823575
2018-05-23 19:55:15.545770,2018-05-23 19:56:21.429281,0:01:05.883511
begin at: 2018-05-23 19:56:31.686804
2018-05-23 19:56:31.642315,2018-05-23 19:56:31.690664,0:00:00.048349
2018-05-23 19:56:36.827231,2018-05-23 19:56:36.830153,0:00:00.002922
2018-05-23 19:56:42.054668,2018-05-23 19:56:42.058051,0:00:00.003383
2018-05-23 19:56:47.307592,2018-05-23 19:56:47.313960,0:00:00.006368
2018-05-23 19:56:52.538994,2018-05-23 19:56:52.543357,0:00:00.004363
2018-05-23 19:56:57.766899,2018-05-23 19:56:57.770278,0:00:00.003379
2018-05-23 19:57:03.018346,2018-05-23 19:57:03.025678,0:00:00.007332
2018-05-23 19:57:08.244247,2018-05-23 19:57:08.249097,0:00:00.004850
2018-05-23 19:57:13.490642,2018-05-23 19:57:13.493011,0:00:00.002369
2018-05-23 19:57:18.727052,2018-05-23 19:57:18.729912,0:00:00.002860
2018-05-23 19:57:23.851519,2018-05-23 19:57:23.855983,0:00:00.004464
2018-05-23 19:57:28.966917,2018-05-23 19:57:28.969447,0:00:00.002530
2018-05-23 19:57:34.093932,2018-05-23 19:57:34.095457,0:00:00.001525
2018-05-23 19:57:39.236024,2018-05-23 19:57:39.241992,0:00:00.005968
2018-05-23 19:57:44.360214,2018-05-23 19:57:44.364177,0:00:00.003963
2018-05-23 19:57:49.483315,2018-05-23 19:57:49.491757,0:00:00.008442
2018-05-23 19:57:54.603809,2018-05-23 19:57:54.608245,0:00:00.004436
2018-05-23 19:57:59.674478,2018-05-23 19:57:59.678499,0:00:00.004021
2018-05-23 19:58:04.793225,2018-05-23 19:58:04.798149,0:00:00.004924
2018-05-23 19:58:09.909945,2018-05-23 19:58:09.913918,0:00:00.003973
2018-05-23 19:58:15.033057,2018-05-23 19:58:15.036943,0:00:00.003886
2018-05-23 19:58:20.174179,2018-05-23 19:58:20.180220,0:00:00.006041
2018-05-23 19:58:25.312969,2018-05-23 19:58:25.316488,0:00:00.003519
2018-05-23 19:58:30.422448,2018-05-23 19:58:30.426927,0:00:00.004479
2018-05-23 19:58:35.547966,2018-05-23 19:58:35.551410,0:00:00.003444
2018-05-23 19:58:40.617687,2018-05-23 19:58:40.623164,0:00:00.005477
2018-05-23 19:58:45.753801,2018-05-23 19:58:45.757674,0:00:00.003873
2018-05-23 19:58:50.886794,2018-05-23 19:58:50.890738,0:00:00.003944
2018-05-23 19:58:56.010428,2018-05-23 19:58:56.014433,0:00:00.004005
2018-05-23 19:59:01.126548,2018-05-23 19:59:01.129995,0:00:00.003447
2018-05-23 19:59:06.243522,2018-05-23 19:59:06.247588,0:00:00.004066
2018-05-23 19:59:11.366943,2018-05-23 19:59:11.372917,0:00:00.005974
2018-05-23 19:59:16.431930,2018-05-23 19:59:16.437366,0:00:00.005436
2018-05-23 19:59:21.530688,2018-05-23 19:59:21.533704,0:00:00.003016
2018-05-23 19:59:26.651175,2018-05-23 19:59:26.656298,0:00:00.005123
2018-05-23 19:59:31.773292,2018-05-23 19:59:31.775295,0:00:00.002003
2018-05-23 19:59:36.876488,2018-05-23 19:59:36.880454,0:00:00.003966
