begin at: Thu May 17 09:09:42 2018
1526537382.807719230652,1526537382.857156515121,0.049437284470
2018-05-23 20:38:23.161442,2018-05-23 20:38:23.164907,0:00:00.003465
2018-05-23 20:38:28.272420,2018-05-23 20:38:28.275934,0:00:00.003514
2018-05-23 20:38:33.398205,2018-05-23 20:38:33.402169,0:00:00.003964
2018-05-23 20:38:38.508605,2018-05-23 20:38:38.509646,0:00:00.001041
2018-05-23 20:38:43.619427,2018-05-23 20:38:43.620918,0:00:00.001491
2018-05-23 20:38:48.742655,2018-05-23 20:38:48.748694,0:00:00.006039
2018-05-23 20:38:53.852713,2018-05-23 20:38:53.859641,0:00:00.006928
2018-05-23 20:38:58.949425,2018-05-23 20:38:58.949939,0:00:00.000514
2018-05-23 20:39:04.067467,2018-05-23 20:39:04.073422,0:00:00.005955
2018-05-23 20:39:09.179198,2018-05-23 20:39:09.186127,0:00:00.006929
2018-05-23 20:39:14.278334,2018-05-23 20:39:14.278191,-1 day, 23:59:59.999857
2018-05-23 20:39:19.382920,2018-05-23 20:39:19.387930,0:00:00.005010
2018-05-23 20:39:24.492495,2018-05-23 20:39:24.496423,0:00:00.003928
2018-05-23 20:39:29.613107,2018-05-23 20:39:29.615686,0:00:00.002579
2018-05-23 20:39:34.723154,2018-05-23 20:39:34.729176,0:00:00.006022
2018-05-23 20:39:39.820918,2018-05-23 20:39:39.825928,0:00:00.005010
2018-05-23 20:39:44.924907,2018-05-23 20:39:44.925869,0:00:00.000962
2018-05-23 20:39:50.021673,2018-05-23 20:39:50.023165,0:00:00.001492
2018-05-23 20:39:55.141208,2018-05-23 20:39:55.142804,0:00:00.001596
2018-05-23 20:40:00.255365,2018-05-23 20:40:00.260432,0:00:00.005067
2018-05-23 20:40:05.334242,2018-05-23 20:40:06.537000,0:00:01.202758
2018-05-23 20:40:16.632500,2018-05-23 20:40:15.424467,-1 day, 23:59:58.791967
2018-05-23 20:40:26.561004,2018-05-23 20:40:26.652575,0:00:00.091571
2018-05-23 20:40:31.706304,2018-05-23 20:40:31.710267,0:00:00.003963
2018-05-23 20:40:36.808760,2018-05-23 20:40:36.811728,0:00:00.002968
2018-05-23 20:40:41.900294,2018-05-23 20:40:41.902076,0:00:00.001782
2018-05-23 20:40:47.000618,2018-05-23 20:40:47.003045,0:00:00.002427
2018-05-23 20:40:52.097769,2018-05-23 20:40:52.099250,0:00:00.001481
2018-05-23 20:40:57.177335,2018-05-23 20:40:57.187827,0:00:00.010492
2018-05-23 20:41:02.280549,2018-05-23 20:41:02.278595,-1 day, 23:59:59.998046
2018-05-23 20:41:07.387485,2018-05-23 20:41:07.386064,-1 day, 23:59:59.998579
2018-05-23 20:41:12.496799,2018-05-23 20:41:12.499880,0:00:00.003081
2018-05-23 20:41:17.618850,2018-05-23 20:41:17.617828,-1 day, 23:59:59.998978
2018-05-23 20:41:22.724096,2018-05-23 20:41:22.723036,-1 day, 23:59:59.998940
2018-05-23 20:41:27.839534,2018-05-23 20:41:27.844105,0:00:00.004571
2018-05-23 20:41:32.939851,2018-05-23 20:41:32.943358,0:00:00.003507
2018-05-23 20:41:38.064729,2018-05-23 20:41:38.073315,0:00:00.008586
2018-05-23 20:41:43.162534,2018-05-23 20:41:43.171588,0:00:00.009054
2018-05-23 20:41:48.261568,2018-05-23 20:41:48.264098,0:00:00.002530
2018-05-23 20:41:53.359778,2018-05-23 20:41:53.363748,0:00:00.003970
2018-05-23 20:41:58.437353,2018-05-23 20:41:58.442821,0:00:00.005468
2018-05-23 20:42:03.563705,2018-05-23 20:42:03.567111,0:00:00.003406
2018-05-23 20:42:08.654055,2018-05-23 20:42:08.658303,0:00:00.004248
2018-05-23 20:42:13.750767,2018-05-23 20:42:13.748311,-1 day, 23:59:59.997544
2018-05-23 20:42:18.843093,2018-05-23 20:42:18.848025,0:00:00.004932
2018-05-23 20:42:23.951114,2018-05-23 20:42:23.954529,0:00:00.003415
2018-05-23 20:42:29.052840,2018-05-23 20:42:29.051320,-1 day, 23:59:59.998480
2018-05-23 20:42:34.167034,2018-05-23 20:42:34.169888,0:00:00.002854
2018-05-23 20:42:39.382266,2018-05-23 20:42:39.386571,0:00:00.004305
2018-05-23 20:42:44.574674,2018-05-23 20:42:44.577624,0:00:00.002950
2018-05-23 20:42:49.777203,2018-05-23 20:42:49.780065,0:00:00.002862
2018-05-23 20:42:54.979740,2018-05-23 20:42:54.984780,0:00:00.005040
2018-05-23 20:43:00.143709,2018-05-23 20:43:00.143604,-1 day, 23:59:59.999895
2018-05-23 20:43:05.356438,2018-05-23 20:43:05.356929,0:00:00.000491
2018-05-23 20:43:10.579525,2018-05-23 20:43:10.582455,0:00:00.002930
2018-05-23 20:43:15.782871,2018-05-23 20:43:15.784934,0:00:00.002063
2018-05-23 20:43:20.938762,2018-05-23 20:43:20.944823,0:00:00.006061
2018-05-23 20:43:26.183007,2018-05-23 20:43:26.170117,-1 day, 23:59:59.987110
2018-05-23 20:43:31.342814,2018-05-23 20:43:31.346671,0:00:00.003857
2018-05-23 20:43:36.555810,2018-05-23 20:43:36.558803,0:00:00.002993
2018-05-23 20:43:41.760560,2018-05-23 20:43:41.764273,0:00:00.003713
2018-05-23 20:43:46.921552,2018-05-23 20:43:46.922438,0:00:00.000886
2018-05-23 20:43:52.075248,2018-05-23 20:43:52.080032,0:00:00.004784
2018-05-23 20:43:57.246048,2018-05-23 20:43:57.249393,0:00:00.003345
2018-05-23 20:44:02.471028,2018-05-23 20:44:02.475594,0:00:00.004566
2018-05-23 20:44:07.698780,2018-05-23 20:44:07.704493,0:00:00.005713
2018-05-23 20:44:12.918837,2018-05-23 20:44:12.922982,0:00:00.004145
2018-05-23 20:44:18.140466,2018-05-23 20:44:18.142351,0:00:00.001885
2018-05-23 20:44:23.276789,2018-05-23 20:44:23.282773,0:00:00.005984
2018-05-23 20:44:28.415852,2018-05-23 20:44:28.420585,0:00:00.004733
2018-05-23 20:44:33.552118,2018-05-23 20:44:33.557349,0:00:00.005231
2018-05-23 20:44:38.702995,2018-05-23 20:44:38.705118,0:00:00.002123
2018-05-23 20:44:43.858250,2018-05-23 20:44:43.864561,0:00:00.006311
2018-05-23 20:44:49.018890,2018-05-23 20:44:49.023680,0:00:00.004790
2018-05-23 20:44:54.240542,2018-05-23 20:44:54.238544,-1 day, 23:59:59.998002
2018-05-23 20:44:59.391770,2018-05-23 20:44:59.394101,0:00:00.002331
2018-05-23 20:45:04.609461,2018-05-23 20:45:04.612387,0:00:00.002926
2018-05-23 20:45:09.769047,2018-05-23 20:45:09.775333,0:00:00.006286
2018-05-23 20:45:15.240127,2018-05-23 20:45:15.242597,0:00:00.002470
2018-05-23 20:45:20.644655,2018-05-23 20:45:20.646376,0:00:00.001721
2018-05-23 20:45:26.018378,2018-05-23 20:45:26.021871,0:00:00.003493
2018-05-23 20:45:31.388850,2018-05-23 20:45:31.393178,0:00:00.004328
2018-05-23 20:45:36.766544,2018-05-23 20:45:36.769559,0:00:00.003015
2018-05-23 20:45:42.133830,2018-05-23 20:45:42.133694,-1 day, 23:59:59.999864
